SOMAmer SeqID,Target Name,Human Target or Analyte,UniProt ID,GeneID,Cardiovascular Disease,Inflammation and Immune Response,Metabolic Disease,Oncology,Combine Immune and Metabolic,Previous association with age,Previous association with Sex,Drug Targets,Bone Related or of interest,NIHM Supplemental Data,Aging and Longevity pQTLs,Rat Cytokine/Chemokine Luminex,Known of Interest,Inflammatory Serum Protein Profiling of Patients,Count for Custom Panel,
18395-5,ADPRH,[Protein ADP-ribosylarginine] hydrolase,P54922,ADPRH,,,,,,,,,,,,,,,,
5227-60,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",Q15118,PDK1,,,,,,,,,,,,,,,,
12651-21,PDK2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",Q15119,PDK2,X,,,,,,,,,,,,,,,
22005-8,PDP1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",Q9P0J1,PDP1,,,X,,,,,,,,,,,,,
12457-10,MTND,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",Q9BV57,ADI1,,,,,,,,,,,,,,,,
17150-8,HSP 10,"10 kDa heat shock protein, mitochondrial",P61604,HSPE1,X,,,,,,,,,,,,,,,
16882-27,PHP14,14 kDa phosphohistidine phosphatase,Q9NRX4,PHPT1,,,,,,,,,,,,,,,,
12414-31,14-3-3 protein beta/alpha,14-3-3 protein beta/alpha,P31946,YWHAB,,,,,,,,,,,,,,,,
14156-33,14-3-3 protein beta/alpha,14-3-3 protein beta/alpha,P31946,YWHAB,,,,,,,,,,,,,,,,
14157-21,14-3-3E,14-3-3 protein epsilon,P62258,YWHAE,,,,,,,,,,X,,,X,,X,X
22049-24,14-3-3 eta,14-3-3 protein eta,Q04917,YWHAH,X,,X,,,,,,,,,,,,,
4707-50,14-3-3 eta,14-3-3 protein eta,Q04917,YWHAH,,,,,,,,,,,,,,,,
4179-57,14-3-3 protein gamma,14-3-3 protein gamma,P61981,YWHAG,,,,,,,,,,,,,,,,
8901-40,14-3-3 protein gamma,14-3-3 protein gamma,P61981,YWHAG,,,,,,,,,,,,,,,,
4829-43,STRATIFIN,14-3-3 protein sigma,P31947,SFN,,,,X,,,,,,X,,,X,,X,X
7625-27,14-3-3 protein theta,14-3-3 protein theta,P27348,YWHAQ,,,,,,,,,,X,,,X,,X,X
5858-6,14-3-3 protein zeta/delta,14-3-3 protein zeta/delta,P63104,YWHAZ,,,,X,,,,,,X,,,X,,X,X
20087-3,selenoprotein15,15 kDa selenoprotein,O60613,SELENOF,,,,,,,,,,,,,,,,
4995-16,HPG-,15-hydroxyprostaglandin dehydrogenase [NAD(+)],P15428,HPGD,,,,X,,,,,,,,,,,,
13972-4,DHB14,17-beta-hydroxysteroid dehydrogenase 14,Q9BPX1,HSD17B14,,,,,,,,,,,,,,,,
23393-56,ABHD5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,Q8WTS1,ABHD5,,,X,,,,,,,,,,,,,
11354-21,Phospholipase C-beta-1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",Q9NQ66,PLCB1,,,,,,,,,,,,,,,,
